HDFC BANK SAVINGS ACCOUNT STATEMENT
Date,Narration,Chq./Ref.No.,Value Date,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/07/26,UPI-ZOMATO-FOOD,592819381,01/07/26,450.00,,49550.00
01/07/26,UPI-AMAZON-SHOPPING,592819382,01/07/26,1200.00,,48350.00
02/07/26,INTEREST CREDIT,,02/07/26,,150.00,48500.00
02/07/26,UPI-UBER-RIDE,592819383,02/07/26,350.00,,48150.00
03/07/26,NETFLIX SUBSCRIPTION,983201,03/07/26,799.00,,47351.00
03/07/26,UPI-SWIGGY-ORDER,592819384,03/07/26,650.00,,46701.00
04/07/26,OWN ACCOUNT TRANSFER,,04/07/26,5000.00,,41701.00
04/07/26,APOLLO PHARMACY,983202,04/07/26,420.00,,41281.00
05/07/26,UPI-STARBUCKS-COFFEE,592819385,05/07/26,380.00,,40901.00
05/07/26,UPI-MYNTRA-CLOTHING,592819386,05/07/26,2450.00,,38451.00
06/07/26,SALARY DEPOSIT,,06/07/26,,85000.00,123451.00
06/07/26,CULT FIT MEMBER,983203,06/07/26,1500.00,,121951.00
07/07/26,UPI-OLA-CAB,592819387,07/07/26,180.00,,121771.00
07/07/26,HP PETROL PUMP,983204,07/07/26,2200.00,,119571.00
08/07/26,UPI-SWIGGY-ORDER,592819388,08/07/26,450.00,,119121.00
08/07/26,SPOTIFY PREMIUM,,08/07/26,179.00,,118942.00
09/07/26,CASHBACK RECEIVED,,09/07/26,,50.00,118992.00
09/07/26,UPI-AMAZON-SHOPPING,592819389,09/07/26,850.00,,118142.00
10/07/26,UPI-ZOMATO-FOOD,592819390,10/07/26,950.00,,117192.00
10/07/26,OWN ACCOUNT TRANSFER,,10/07/26,5000.00,,112192.00
***** END OF STATEMENT *****
